id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
7393,Larry,Fitzgerald,ARI,WR,35,14,WR,robust,8.3575,19,0.043874999999999886,1.1171390999999997,7.0875,13.35925,6,15.8,3.1,2.9882795866482734
7393,Larry,Fitzgerald,ARI,WR,35,14,WR,weighted,8.122644079885877,24,0.12306776034236755,1.0475070282255061,6.840000000000001,9.173575379939209,6,15.8,3.1,2.9882795866482734
7394,Philip,Rivers,LAC,QB,37,14,QB,average,15.6363,19,0.27458000000000027,1.0744305406431203,14.4095,17.0792,2,6.5,2.6,5.223174103573126
7394,Philip,Rivers,LAC,QB,37,14,QB,robust,15.7955,19,0.4529999999999994,0.5995634400000011,14.4095,17.0792,2,6.5,2.6,4.708489069567093
7394,Philip,Rivers,LAC,QB,37,14,QB,weighted,16.116060838501866,16,0.33430871113296234,0.9754988314740708,15.277999999999999,17.1781092,2,6.5,2.6,5.115946902469939
7401,Ben,Roethlisberger,PIT,QB,36,14,QB,average,16.9552,6,0.053840000000001,1.6556896649634167,14.877499999999998,18.402400000000004,2,4,3,6.1450338033191985
7401,Ben,Roethlisberger,PIT,QB,36,14,QB,robust,17.3966,5,0.42474999999999596,1.6347147600000036,14.877499999999998,18.402400000000004,2,4,3,6.122300138132145
7401,Ben,Roethlisberger,PIT,QB,36,14,QB,weighted,17.505151234944588,4,0.43936448403711026,1.7856296861657044,14.749999999999998,18.402518176291796,2,4,3,6.2858693847706615
7422,Ben,Watson,NOS,TE,38,14,TE,average,4.7923333333333336,15,0.08699999999999974,1.5227764664147747,2.74,6.42725,3,15.1,2.6,3.2421741352328484
7422,Ben,Watson,NOS,TE,38,14,TE,robust,4.819000000000001,14,0.12850000000000072,0.7257327,2.74,6.42725,3,15.1,2.6,3.2421741352328484
7422,Ben,Watson,NOS,TE,38,14,TE,weighted,5.4954265335235375,11,0.20545575445216446,0.9780182663700902,4.66,6.50581225,3,15.1,2.6,3.2421741352328484
7480,Matt,Schaub,ATL,QB,37,14,QB,average,2.3060533333333333,44,0.38782000000000005,4.255921681610224,0.001,8.010399999999999,10,NA,NA,12.644242714446948
7480,Matt,Schaub,ATL,QB,37,14,QB,robust,0.26280000000000003,55,0.018050000000000038,0.1349166,0.001,8.010399999999999,10,NA,NA,3.7111343239306684
7480,Matt,Schaub,ATL,QB,37,14,QB,weighted,0.18552849527282883,53,0.0047011179287515525,0.19987963566589664,0,0.3419970820668693,10,NA,NA,3.8519547858053906
7813,Alex,Smith,WAS,QB,34,13,QB,average,17.059266666666666,4,0.07804999999999751,3.580999511309657,11.8125,19.394,1,9.2,3.5,8.596609202996321
7813,Alex,Smith,WAS,QB,34,13,QB,robust,17.851,3,0.3612000000000002,1.0625794199999965,11.8125,19.394,1,9.2,3.5,5.867017852949673
7813,Alex,Smith,WAS,QB,34,13,QB,weighted,18.36667915394347,1,0.3249233735993293,1.0442257156188712,17.19,19.412908206686932,1,9.2,3.5,5.847125177818583
7836,Aaron,Rodgers,GBP,QB,35,13,QB,average,18.014166666666668,3,0.9809166666666655,2.6256322984505402,14.725500000000002,21.1475,1,5.4,4.8,8.509683983778475
7836,Aaron,Rodgers,GBP,QB,35,13,QB,robust,17.583,4,0.39569999999999794,2.8836570000000017,14.725500000000002,21.1475,1,5.4,4.8,8.789344234218074
7836,Aaron,Rodgers,GBP,QB,35,13,QB,weighted,18.005711102071547,3,0.61233271284285,1.6620171097351057,15.6,19.282854500000003,1,5.4,4.8,7.4652689979833955
7877,Frank,Gore,MIA,RB,35,13,RB,average,5.419333333333334,68,0.11148333333333404,1.8313831294042944,3.3275000000000006,7.860250000000001,12,49.8,3.9,4.063317545077158
7877,Frank,Gore,MIA,RB,35,13,RB,robust,4.8105,71,0.29324999999999957,1.0533873,3.3275000000000006,7.860250000000001,12,49.8,3.9,4.063317545077158
7877,Frank,Gore,MIA,RB,35,13,RB,weighted,4.841466322907097,53,0.23299441364788986,1.4454704393571178,2.93,5.868343161094225,12,49.8,3.9,4.063317545077158
7942,Darren,Sproles,PHI,RB,35,13,RB,average,5.821166666666667,65,0.14076666666666604,3.8381198739313325,3.1442500000000004,11.505,11,53.6,3.7,3.940808668139021
7942,Darren,Sproles,PHI,RB,35,13,RB,robust,4.559500000000001,72,0.12200000000000077,1.6849749,3.1442500000000004,11.505,11,53.6,3.7,3.940808668139021
7942,Darren,Sproles,PHI,RB,35,13,RB,weighted,4.06321759237955,58,0.09197812220447066,1.243587427532194,3.1100000000000003,5.428299418604651,11,53.6,3.7,3.940808668139021
8042,Matt,Cassel,DET,QB,36,13,QB,average,0.35052,54,0.03790333333333329,0.30089891990500733,0.006,0.6419,10,NA,NA,4.070934427365974
8042,Matt,Cassel,DET,QB,36,13,QB,robust,0.397,51,0.061799999999999966,0.10526460000000003,0.006,0.6419,10,NA,NA,3.6468576426963693
8042,Matt,Cassel,DET,QB,36,13,QB,weighted,0.23054388835497733,51,0.03161779157733918,0.2771356020787686,0,0.4734797568389057,10,NA,NA,4.019422650589146
8062,Ryan,Fitzpatrick,TBB,QB,36,13,QB,average,12.692233333333334,30,0.1042533333333342,5.984572317216996,3.7200000000000006,16.21105,3,23.3,3.2,10.982827045465275
8062,Ryan,Fitzpatrick,TBB,QB,36,13,QB,robust,14.727100000000002,24,0.4222000000000019,2.0743056599999994,3.7200000000000006,16.21105,3,23.3,3.2,6.744681836591562
8062,Ryan,Fitzpatrick,TBB,QB,36,13,QB,weighted,15.138531477067108,19,0.10084705925000748,1.3281939871804436,13.320000000000002,16.215621945288756,3,23.3,3.2,5.936008186264222
8247,Vernon,Davis,WAS,TE,34,12,TE,average,4.276666666666666,23,0.12458333333333282,3.714256879466829,2.2887500000000003,9.742500000000001,4,33.9,4.3,4.137798592917949
